"Code","Error Text","Severity","Associated Element(s)","Form Reference"
"E21","The element is not recorded or does not contain a value for the filing institution identification number.","Fatal","PartyIdentificationNumberText","81h. Institution ID: Number"
"E22","The value recorded for the identification number is an invalid number string.","Warning","PartyIdentificationNumberText","81h. Institution ID: Number"
"E24","The element is not recorded or does not contain a value for the filing institution.","Warning","RawStreetAddress1Text","82. Address: Address/Street"
"E26","The element is not recorded or does not contain a value for the filing institution.","Warning","RawCityText","83. Address: City"
"E27","The element contains an invalid state code.","Fatal","RawStateCodeText","84. Address: State"
"E28","The element is not recorded or does not contain a value for the filing institution when the country is US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","84. Address: State"
"E3","The element is recorded but with no value (i.e. the value is null).","Fatal","PrimaryRegulatorTypeCode","75a-i, z. Primary Federal Regulator"
"E30","The element contains a value and the country is not US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","84. Address: State"
"E31","State code and country code mismatch when U.S. Territory is recorded.","Warning","RawCountryCodeText RawStateCodeText","8486. Address"
"E32","The value recorded contains punctuation or formatting.","Fatal","RawZIPCode","85. Address: ZIP/Postal Code"
"E34","The element is not recorded or does not contain a value for the filing institution.","Warning","RawZIPCode","85. Address: ZIP/Postal Code"
"E35","The value recorded is not equal to 5 or 9 numeric characters, is a 9-digit value ending in four zeros or four nines, and the corresponding country is equal to US or a U.S. Territory code.","Warning","RawZIPCode","85. Address: ZIP/Postal Code"
"E36","The element contains an invalid country code.","Fatal","RawCountryCodeText","86. Address: Country"
"E37","The element is not recorded or does not contain a value for the filing institution.","Warning","RawCountryCodeText","86. Address: Country"
"E39","The party type associated with the designated contact office is not recorded.","Fatal","Party","93. Designated Contact Office"
"E4","The element contains an invalid code.","Fatal","PrimaryRegulatorTypeCode","75a-i, z. Primary Federal Regulator"
"E40","The party type associated with the designated contact office exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","93. Designated Contact Office"
"E41","The element is not recorded or does not contain a value for the Designated contact office.","Fatal","RawPartyFullName","93. Name: Legal name"
"E42","The element is not recorded or does not contain a value for the designated contact office.","Warning","PhoneNumberText","94. Phone: Number"
"E43","The party type associated with the LE contact agency exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","89. LE Contact Agency"
"E44","The party type associated with the LE contact name exceeds the maximum occurrence for the FinCEN SAR.","Fatal","Party","90. LE Contact Name"
"E45","The value recorded for the element is not in the required format (YYYYMMDD).","Fatal","ContactDateText","92. LE contact date"
"E46","The element is not recorded or does not contain a valid value.","Fatal","PartyIdentificationTypeCode","78. TIN: Type"
"E47","The element is not recorded or does not contain a value and the institution subtype is equal to Other.","Warning","OtherOrganizationSubTypeText","80z. Institution Subtype Other: Securities/Futures Institution Description"
"E5*","The element is not recorded.","Warning","RawPartyFullName","76. Name: Legal name"
"E6*","The element is recorded but with no value (i.e. the value is null).","Warning","RawPartyFullName","76. Name: Legal name"
"E7","The element is not recorded or does not contain a value for the filing institution TIN.","Fatal","PartyIdentificationNumberText","77. TIN: Number"
"E9*","The value recorded for the EIN or SSN/ITIN is an invalid number string.","Warning","PartyIdentificationNumberText","77. TIN: Number"
"F0","The batch submission contains an attachment but the <OriginalAttachmentFileName> element is not recorded or does not contain a value.","Fatal","OriginalAttachmentFileName","FinCEN SAR Attachment"
"F1","The element is recorded with a valid value but there is no corresponding attachment.","Fatal","OriginalAttachmentFileName","FinCEN SAR Attachment"
"F2","The element is not recorded.","Fatal","ActivityNarrativeInformation","Narrative"
"F3","The element is not recorded or does not contain a value.","Fatal","ActivityNarrativeSequenceNumber","Narrative: Sequence Number"
"F4","The element contains an invalid code.","Fatal","ActivityNarrativeSequenceNumber","Narrative: Sequence Number"
"F5","The element is not recorded or does not contain a value.","Fatal","ActivityNarrativeText","Narrative: Value/Description"
"G0","A required party associated with the transmitter is missing.","Fatal","Party","NA"
"G1","The report contains more than one party associated with the transmitter.","Fatal","Party","NA"
"G10","The element contains a value that is not a valid code","Warning","Transmitter Country","NA"
"G11","State code and country code mismatch when U.S. Territory is recorded","Warning","Transmitter Country","NA"
"G12","The element contains an invalid number string for a US TIN","Warning","Transmitter Taxpayer Identification Number (TIN)","NA"
"G13","The element is not recorded or does not contain a value","Warning","Transmitter Taxpayer Identification Number (TIN)","NA"
"G14","The element is recorded but without a value (i.e. the value is null).","Fatal","Transmitter Taxpayer Identification Number (TIN) or Control Code (TCC) Type","NA"
"G15","The element contains a value that is not a valid code","Fatal","Transmitter Taxpayer Identification Number (TIN) or Control Coe (TCC) Type","NA"
"G16","The Transmitter Control Code (TCC) specified in the file is not a valid TCC. For production, the TCC must begin with “P” and for User Test, it must be equal to “TBSATEST”.","Fatal","Transmitter Control Code (TCC) Number","NA"
"G19","The value recorded for the element contains non-numeric characters","Warning","Transmitter Telephone Number","NA"
"G2","The element is not recorded or does not contain a value","Warning","Transmitter Name","NA"
"G20","The element is not recorded or does not contain a value (i.e. the value is null).","Warning","Transmitter Telephone Number","NA"
"G3","The element is not recorded or does not contain a value","Warning","Transmitter Address","NA"
"G4","The element is not recorded or does not contain a value","Warning","Transmitter City","NA"
"G5","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","Transmitter State","NA"
"G6","The element contains a value that is not a valid code","Warning","Transmitter State","NA"
"G7","The element is not recorded or does not contain a value","Warning","Transmitter ZIP/Postal Code","NA"
"G8","The value recorded contains one or more non-numeric characters or is in an invalid format and the country is US","Warning","Transmitter ZIP/Postal Code","NA"
"G9","The element is not recorded or does not contain a value","Warning","Transmitter Country","NA"
"H0","A required party associated with the transmitter contact is missing.","Fatal","Party","NA"
"H1","The report contains more than one party associated with the transmitter contact.","Fatal","Party","NA"
"H2","The element is not recorded or does not contain a value","Warning","Transmitter Contact Name","NA"
